data_ref,index,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,mau
2015-09-01,3763,F,N,S,0,Servidor público,Médio,Casado,Casa,45,5.602739726027397,2.0,8024.62,False
2016-03-01,12276,M,N,S,0,Empresário,Superior completo,Solteiro,Casa,25,5.613698630136986,1.0,1171.94,False
2015-08-01,4874,F,S,S,0,Assalariado,Médio,Casado,Casa,41,0.4657534246575342,2.0,12382.47,False
2015-08-01,13136,M,S,S,0,Pensionista,Médio,União,Casa,67,,2.0,39078.87,False
2015-06-01,2641,F,S,S,0,Empresário,Superior completo,Casado,Casa,55,17.986301369863014,2.0,36478.11,False
2015-01-01,16119,F,S,S,1,Assalariado,Superior completo,Separado,Casa,51,16.386301369863013,2.0,36517.67,False
2015-08-01,13756,F,N,S,0,Servidor público,Médio,Solteiro,Casa,27,8.29041095890411,1.0,17285.05,False
2015-02-01,14520,F,S,N,0,Assalariado,Médio,Casado,Casa,40,22.145205479452056,2.0,75944.34,False
2015-11-01,8665,F,N,S,0,Assalariado,Médio,Viúvo,Casa,54,8.821917808219178,1.0,11124.43,False
2015-07-01,15444,F,N,N,0,Assalariado,Médio,Casado,Casa,27,0.536986301369863,2.0,3737.61,False
2015-10-01,8088,M,N,S,0,Empresário,Médio,Casado,Casa,63,1.8054794520547943,2.0,12319.43,False
2016-01-01,835,F,N,S,1,Empresário,Superior completo,Casado,Casa,43,3.83013698630137,3.0,3902.35,True
2015-10-01,2565,F,N,S,0,Assalariado,Superior completo,Separado,Casa,54,34.57808219178082,1.0,781061.48,False
2015-11-01,9361,F,N,N,0,Pensionista,Superior completo,Casado,Casa,58,,2.0,1036.4,False
2015-10-01,8938,F,N,S,1,Empresário,Superior completo,Solteiro,Casa,43,9.115068493150686,2.0,86976.37,False
2015-08-01,5363,F,S,S,1,Assalariado,Fundamental,Casado,Casa,39,3.9315068493150687,3.0,20637.22,False
2016-03-01,14264,F,S,S,2,Assalariado,Médio,Casado,Casa,30,8.046575342465754,4.0,2027.52,False
2015-04-01,4896,F,S,S,0,Assalariado,Médio,Casado,Casa,40,6.717808219178083,2.0,9350.51,False
2015-12-01,1077,F,S,S,2,Assalariado,Médio,Casado,Casa,41,18.846575342465755,4.0,17744.22,False
2015-05-01,2731,M,N,S,0,Empresário,Médio,Casado,Casa,34,11.065753424657537,2.0,24880.08,False
2015-04-01,14941,M,S,S,0,Servidor público,Superior completo,Casado,Casa,27,1.7616438356164383,2.0,11764.18,False
2016-02-01,232,F,N,N,2,Assalariado,Médio,Casado,Casa,26,7.863013698630137,4.0,945.74,True
2015-09-01,7856,F,S,N,0,Empresário,Médio,Casado,Casa,45,2.972602739726028,2.0,3454.04,False
2015-05-01,7983,F,N,S,1,Assalariado,Pós graduação,Solteiro,Casa,34,7.586301369863014,2.0,20387.52,False
2015-11-01,11713,M,S,S,1,Empresário,Médio,Casado,Governamental,31,6.909589041095891,3.0,3957.25,False
2015-12-01,15803,M,N,S,0,Assalariado,Médio,Solteiro,Casa,27,3.016438356164384,1.0,3876.59,False
2015-04-01,7435,F,S,N,1,Assalariado,Superior completo,Casado,Aluguel,26,7.884931506849315,3.0,7641.74,False
2015-05-01,6149,F,N,S,0,Pensionista,Médio,Viúvo,Casa,63,,1.0,26944.58,True
2015-08-01,1290,F,N,S,0,Pensionista,Superior completo,Casado,Casa,59,,2.0,11792.44,False
2016-02-01,14154,F,N,N,0,Servidor público,Médio,Casado,Com os pais,33,0.536986301369863,2.0,1139.98,True
2016-01-01,9393,M,S,N,0,Assalariado,Médio,Casado,Casa,48,7.101369863013699,2.0,3464.97,False
2015-11-01,2238,F,N,N,0,Pensionista,Médio,Casado,Casa,54,,2.0,3190.99,False
2015-01-01,8229,F,N,S,0,Assalariado,Superior completo,Casado,Casa,27,4.304109589041096,2.0,2488.69,False
2016-03-01,14905,F,N,N,1,Assalariado,Superior completo,Casado,Casa,37,7.882191780821918,3.0,4324.07,False
2015-02-01,296,M,N,N,0,Assalariado,Superior completo,Solteiro,Casa,27,4.86027397260274,1.0,3264.16,False
2016-01-01,8318,M,S,S,1,Assalariado,Médio,Casado,Casa,42,9.06027397260274,3.0,1658.36,False
2015-05-01,10839,F,N,N,0,Assalariado,Médio,Casado,Governamental,49,31.372602739726027,2.0,61338.89,False
2015-01-01,2292,M,S,S,0,Pensionista,Médio,Separado,Casa,62,,1.0,3779.42,True
2015-07-01,9538,M,S,N,0,Assalariado,Superior completo,Casado,Casa,35,7.852054794520548,2.0,21897.51,False
2015-03-01,8104,F,N,N,0,Empresário,Médio,Casado,Casa,48,11.558904109589042,2.0,4702.73,False
2015-03-01,7877,F,N,S,0,Empresário,Médio,Solteiro,Casa,50,1.7205479452054795,1.0,15893.37,False
2015-10-01,12300,F,N,N,1,Assalariado,Médio,Solteiro,Governamental,34,14.61917808219178,2.0,31891.22,False
2015-09-01,709,F,N,S,0,Pensionista,Superior completo,Casado,Casa,64,,2.0,12618.96,False
2015-09-01,3179,F,S,N,0,Assalariado,Médio,Casado,Casa,51,5.558904109589041,2.0,17159.91,False
2015-07-01,4200,F,N,S,0,Empresário,Superior completo,Solteiro,Casa,46,1.7589041095890412,1.0,12590.44,False
2016-03-01,5693,M,N,N,0,Assalariado,Médio,Casado,Casa,59,14.794520547945206,2.0,5879.01,False
2015-08-01,12936,F,N,N,0,Pensionista,Médio,Solteiro,Governamental,58,,1.0,22832.64,False
2015-07-01,2505,F,N,N,0,Pensionista,Médio,Casado,Casa,56,,2.0,7410.88,False
2015-10-01,11584,F,S,S,0,Empresário,Médio,Casado,Casa,51,12.583561643835615,2.0,13952.76,False
2016-03-01,4703,F,S,S,2,Assalariado,Médio,Casado,Casa,32,10.610958904109587,4.0,3498.94,False
2015-02-01,1825,F,N,S,0,Pensionista,Superior completo,Casado,Casa,62,,2.0,11228.08,False
2015-12-01,15643,F,N,S,0,Pensionista,Médio,Casado,Casa,66,,2.0,3159.58,False
2015-06-01,2555,M,S,S,1,Assalariado,Médio,Casado,Casa,47,0.5561643835616439,3.0,12904.06,False
2016-03-01,3940,F,N,S,0,Empresário,Médio,Casado,Casa,42,4.934246575342466,2.0,934.98,True
2015-12-01,1581,F,N,S,0,Pensionista,Médio,Separado,Casa,59,,1.0,4244.51,False
2015-08-01,2788,M,N,S,1,Assalariado,Médio,Casado,Casa,45,8.98082191780822,3.0,49641.66,False
2016-03-01,450,M,N,S,0,Assalariado,Médio,Casado,Casa,57,0.5232876712328767,2.0,2110.75,False
2015-05-01,13218,F,S,S,2,Empresário,Médio,Casado,Casa,43,6.18082191780822,4.0,13677.49,False
2015-02-01,268,F,N,N,0,Pensionista,Médio,Casado,Casa,58,,2.0,10883.51,False
2016-03-01,5532,F,S,S,1,Assalariado,Superior incompleto,União,Casa,35,7.542465753424658,3.0,2687.91,False
2016-01-01,6240,F,N,S,0,Servidor público,Médio,Separado,Casa,39,0.8273972602739726,1.0,293.4,False
2015-10-01,12651,F,S,S,0,Pensionista,Médio,Casado,Casa,52,,2.0,9077.31,False
2016-03-01,2486,F,S,S,0,Pensionista,Médio,Casado,Casa,60,,2.0,1956.24,False
2015-10-01,8299,F,S,S,0,Assalariado,Médio,Casado,Casa,58,9.975342465753425,2.0,30041.06,False
2015-11-01,11868,F,N,N,0,Assalariado,Superior completo,Separado,Casa,52,2.745205479452055,1.0,6095.33,False
2015-05-01,10402,M,S,S,0,Assalariado,Médio,Casado,Casa,47,3.3835616438356166,2.0,15457.67,True
2015-07-01,15145,M,N,S,2,Assalariado,Médio,Casado,Casa,45,0.9095890410958904,4.0,25350.8,False
2015-08-01,16496,F,S,N,0,Pensionista,Médio,Casado,Casa,59,,2.0,9670.7,False
2015-01-01,15390,F,N,N,0,Pensionista,Superior completo,Casado,Governamental,57,,2.0,2389.1,True
2015-07-01,12640,M,S,S,1,Assalariado,Médio,Casado,Casa,41,6.953424657534247,3.0,13103.92,False
2015-12-01,15393,F,N,N,0,Pensionista,Médio,Casado,Casa,60,,2.0,7323.4,False
2015-07-01,12510,M,S,N,0,Assalariado,Médio,Separado,Casa,46,1.9506849315068493,1.0,11515.57,False
2015-08-01,11293,F,N,S,3,Assalariado,Médio,Separado,Casa,34,7.772602739726027,4.0,5444.21,False
2016-02-01,5037,F,S,S,0,Assalariado,Médio,Casado,Casa,57,6.298630136986302,2.0,9603.51,False
2015-02-01,3584,F,N,S,0,Assalariado,Médio,Casado,Casa,42,2.4383561643835616,2.0,5602.06,False
2015-07-01,9855,M,S,N,0,Servidor público,Médio,Solteiro,Governamental,28,0.3452054794520548,1.0,3910.01,False
2016-02-01,11902,M,N,N,0,Assalariado,Médio,Casado,Casa,51,23.67945205479452,2.0,39922.85,False
2015-05-01,2545,M,S,N,4,Empresário,Médio,Casado,Casa,41,7.063013698630137,6.0,28052.95,False
2015-12-01,2154,F,N,S,0,Pensionista,Superior completo,Casado,Casa,65,,2.0,3308.89,False
2015-11-01,3939,F,N,S,0,Servidor público,Superior completo,Casado,Casa,51,12.189041095890412,2.0,20570.13,False
2015-10-01,10389,F,S,S,0,Assalariado,Médio,Casado,Casa,58,8.553424657534247,2.0,13610.82,False
2015-12-01,12430,F,N,N,0,Assalariado,Médio,Casado,Casa,44,2.698630136986301,2.0,864.5,False
2016-03-01,15291,F,N,N,2,Assalariado,Superior completo,União,Casa,37,17.38082191780822,4.0,12044.93,False
2016-02-01,1170,F,N,S,0,Pensionista,Superior completo,Casado,Casa,55,,2.0,17842.56,False
2015-09-01,8106,F,N,N,0,Servidor público,Médio,Casado,Com os pais,47,25.65205479452055,2.0,261616.24,False
2016-03-01,6220,M,S,N,0,Assalariado,Médio,Casado,Governamental,49,3.328767123287671,2.0,8172.61,False
2015-06-01,10436,F,N,S,0,Assalariado,Médio,Viúvo,Casa,52,5.635616438356164,1.0,3183.54,False
2015-01-01,2044,F,N,S,0,Pensionista,Médio,Casado,Casa,64,,2.0,3267.27,True
2016-01-01,15563,F,N,S,2,Assalariado,Superior incompleto,Casado,Casa,29,5.958904109589041,4.0,3590.74,False
2016-02-01,16313,F,S,N,1,Assalariado,Médio,União,Governamental,30,3.6301369863013697,3.0,1358.41,False
2015-05-01,15632,F,N,S,1,Servidor público,Médio,União,Com os pais,40,15.975342465753425,3.0,36659.61,False
2015-08-01,15895,F,N,S,0,Pensionista,Médio,Solteiro,Casa,62,,1.0,16036.05,False
2016-01-01,998,F,N,S,2,Assalariado,Superior completo,Casado,Casa,34,13.424657534246576,4.0,4436.26,False
2015-03-01,12379,F,N,S,0,Assalariado,Superior incompleto,Casado,Casa,33,0.6109589041095891,2.0,764.83,False
2015-07-01,14258,F,S,S,2,Assalariado,Médio,Casado,Casa,30,8.046575342465754,4.0,46778.97,False
2016-03-01,6746,F,N,S,1,Servidor público,Superior completo,Casado,Casa,36,13.136986301369864,3.0,5616.03,False
2015-01-01,11412,M,S,N,1,Empresário,Superior completo,Casado,Com os pais,28,5.347945205479452,3.0,3428.63,False
2015-07-01,13695,F,N,S,2,Empresário,Superior completo,Casado,Casa,37,0.2,4.0,18257.3,False
2015-09-01,1162,M,S,S,0,Assalariado,Médio,Casado,Estúdio,40,22.34794520547945,2.0,64853.98,False
2015-05-01,13438,F,N,N,0,Pensionista,Médio,União,Casa,53,,2.0,6285.33,False
2015-08-01,2727,M,N,S,0,Empresário,Médio,Casado,Casa,34,11.065753424657537,2.0,123307.48,False
2016-03-01,6600,F,N,N,2,Servidor público,Médio,Casado,Casa,39,12.767123287671232,4.0,6287.87,False
2015-05-01,5043,F,N,S,0,Pensionista,Médio,Viúvo,Casa,64,,1.0,15295.64,False
2015-09-01,3126,F,N,S,0,Servidor público,Médio,Casado,Casa,58,2.213698630136986,2.0,4952.95,False
2015-08-01,12592,F,N,S,1,Assalariado,Médio,Casado,Casa,47,3.032876712328767,3.0,8822.73,False
2016-02-01,15763,F,N,S,0,Assalariado,Superior completo,União,Com os pais,22,1.8465753424657527,2.0,4188.59,False
2015-02-01,9575,F,S,N,0,Assalariado,Médio,Casado,Casa,52,18.523287671232875,2.0,25018.62,False
2015-02-01,12446,F,N,N,0,Assalariado,Superior completo,Casado,Com os pais,55,5.035616438356165,2.0,8171.17,False
2015-07-01,1901,F,S,N,0,Servidor público,Superior incompleto,Solteiro,Casa,32,14.263013698630138,1.0,63234.71,False
2016-03-01,8959,F,N,S,0,Pensionista,Médio,Viúvo,Casa,67,,1.0,7612.81,False
2015-01-01,13046,F,N,S,2,Assalariado,Médio,Casado,Casa,35,4.090410958904109,4.0,3377.09,False
2015-09-01,9248,F,S,S,0,Assalariado,Superior completo,União,Casa,31,5.512328767123288,2.0,9397.9,False
2015-02-01,11295,F,N,N,0,Assalariado,Médio,Casado,Casa,55,2.347945205479452,2.0,2493.06,True
2015-05-01,8280,F,N,S,3,Assalariado,Médio,Casado,Casa,33,8.893150684931507,5.0,8519.16,False
2015-08-01,8196,F,S,S,0,Empresário,Médio,Solteiro,Casa,43,5.219178082191781,1.0,37193.52,False
2016-03-01,4083,F,S,N,0,Servidor público,Médio,União,Com os pais,48,21.30958904109589,2.0,47976.05,False
2016-02-01,5363,F,S,S,1,Assalariado,Fundamental,Casado,Casa,39,3.9315068493150687,3.0,3227.92,False
2015-08-01,13201,F,S,S,1,Empresário,Superior completo,União,Casa,42,2.7643835616438355,3.0,17720.15,False
2015-05-01,6728,F,S,N,3,Assalariado,Médio,Casado,Casa,30,8.882191780821918,5.0,9992.12,False
2015-04-01,12142,F,N,S,0,Assalariado,Médio,Casado,Casa,54,2.4465753424657533,2.0,2812.41,False
2015-03-01,3257,F,S,S,1,Assalariado,Médio,Casado,Casa,34,16.583561643835615,3.0,30119.51,False
2015-11-01,5249,M,N,S,2,Empresário,Superior completo,Casado,Casa,35,1.5972602739726027,4.0,2913.51,False
2015-01-01,15712,F,N,N,2,Assalariado,Médio,Casado,Casa,42,9.523287671232875,4.0,3233.48,False
2015-11-01,16649,F,N,S,0,Pensionista,Superior completo,Casado,Casa,33,3.6301369863013697,2.0,3980.92,False
2015-07-01,10906,F,N,N,0,Assalariado,Médio,Casado,Governamental,32,3.1835616438356165,2.0,8047.95,False
2015-11-01,13713,F,N,S,1,Assalariado,Médio,Casado,Casa,44,10.12054794520548,3.0,8901.46,False
2015-07-01,4523,M,N,N,0,Assalariado,Médio,Casado,Casa,53,4.4301369863013695,2.0,9224.19,False
2015-08-01,12587,M,N,N,0,Servidor público,Superior completo,Casado,Casa,32,10.61917808219178,2.0,12389.93,False
2015-01-01,9553,F,N,N,0,Assalariado,Médio,União,Casa,42,0.8465753424657534,2.0,1088.24,False
2015-05-01,11165,F,N,N,0,Empresário,Médio,Casado,Casa,32,4.347945205479452,2.0,7107.82,False
2016-01-01,5037,F,S,S,0,Assalariado,Médio,Casado,Casa,57,6.298630136986302,2.0,12063.28,False
2015-01-01,16280,F,S,S,3,Assalariado,Médio,Casado,Casa,38,10.967123287671232,5.0,7544.69,False
2015-04-01,8309,F,S,S,0,Servidor público,Superior completo,Separado,Casa,52,5.219178082191781,1.0,29440.71,False
2015-12-01,9139,F,N,S,0,Pensionista,Médio,Solteiro,Casa,51,,1.0,4541.4,False
2015-04-01,738,F,N,S,0,Empresário,Médio,Casado,Casa,45,2.8575342465753426,2.0,2976.8,False
2015-10-01,4795,M,N,S,1,Assalariado,Superior completo,Casado,Casa,45,19.36712328767124,3.0,140424.65,False
2016-02-01,9757,F,S,S,2,Assalariado,Superior completo,Casado,Casa,28,5.597260273972603,4.0,1721.49,True
2015-05-01,3187,F,N,S,0,Pensionista,Médio,Casado,Casa,60,,2.0,29635.87,False
2015-08-01,449,M,S,N,2,Assalariado,Médio,Casado,Governamental,34,3.1095890410958904,4.0,8521.15,False
2016-02-01,13091,M,S,S,0,Assalariado,Superior incompleto,Casado,Casa,46,12.6,2.0,3105.63,False
2015-11-01,3805,F,N,S,0,Pensionista,Médio,Casado,Casa,53,,2.0,4724.75,False
2016-03-01,1492,F,N,S,0,Assalariado,Superior completo,Solteiro,Casa,33,7.101369863013699,1.0,1518.37,False
2015-10-01,592,F,N,S,0,Bolsista,Superior completo,Casado,Casa,51,10.695890410958905,2.0,13404.81,False
2015-11-01,15459,F,N,N,0,Assalariado,Superior completo,Solteiro,Casa,37,0.8712328767123287,1.0,1666.21,False
2015-08-01,8530,F,N,S,0,Pensionista,Médio,Casado,Casa,57,,2.0,16896.77,False
2015-05-01,3145,F,N,N,0,Assalariado,Superior incompleto,Solteiro,Com os pais,26,3.473972602739726,1.0,2127.47,True
2015-07-01,5908,M,S,S,0,Empresário,Médio,Casado,Casa,27,7.13972602739726,2.0,23455.55,False
2015-09-01,8749,F,N,S,2,Assalariado,Médio,Separado,Casa,37,8.241095890410959,3.0,8217.08,False
2015-11-01,16255,M,S,S,0,Assalariado,Superior completo,Casado,Casa,28,6.63013698630137,2.0,3831.11,False
2015-03-01,14070,F,N,N,0,Empresário,Médio,Casado,Casa,46,15.128767123287671,2.0,11415.82,True
2015-12-01,10942,F,N,N,0,Empresário,Médio,União,Casa,44,1.4328767123287671,2.0,2126.63,False
2015-02-01,15779,F,N,S,0,Pensionista,Médio,Separado,Casa,60,,1.0,589.61,False
2016-01-01,5163,F,S,S,0,Pensionista,Médio,Casado,Casa,58,,2.0,3202.98,False
2016-03-01,368,M,S,N,0,Empresário,Médio,Separado,Com os pais,28,1.523287671232877,1.0,2982.62,False
2015-07-01,14716,F,N,N,0,Empresário,Médio,União,Casa,56,5.635616438356164,2.0,18871.45,False
2015-09-01,7950,F,N,S,0,Assalariado,Médio,Casado,Casa,42,6.808219178082192,2.0,36496.4,False
2015-02-01,12548,F,N,N,1,Assalariado,Médio,Casado,Casa,34,4.701369863013698,3.0,5034.64,False
2015-02-01,11206,M,S,S,0,Pensionista,Médio,Casado,Casa,53,,2.0,10918.8,True
2015-03-01,11528,M,S,S,0,Assalariado,Superior completo,Casado,Casa,29,4.550684931506849,2.0,14908.0,False
2015-10-01,15633,F,N,S,0,Pensionista,Superior completo,Separado,Casa,58,,1.0,10661.24,False
2015-06-01,14209,F,S,S,0,Empresário,Médio,Solteiro,Casa,51,0.873972602739726,1.0,9207.68,False
2015-06-01,13413,F,S,N,0,Empresário,Superior completo,Solteiro,Casa,38,8.186301369863013,1.0,11948.83,False
2015-04-01,3403,F,N,S,0,Empresário,Médio,Casado,Casa,41,8.64109589041096,2.0,45041.17,False
2015-02-01,853,F,N,N,0,Pensionista,Médio,Casado,Casa,57,,2.0,7315.05,False
2015-05-01,4568,F,N,S,2,Servidor público,Superior completo,Casado,Casa,39,14.52054794520548,4.0,53550.16,False
2015-08-01,732,F,N,S,0,Empresário,Médio,Casado,Casa,51,7.276712328767124,2.0,15148.26,False
2015-12-01,4249,F,N,N,0,Servidor público,Superior incompleto,Casado,Casa,28,8.178082191780822,2.0,1169.37,False
2016-01-01,10247,M,S,N,2,Assalariado,Superior completo,Casado,Casa,34,4.468493150684932,4.0,1651.58,False
2015-08-01,15283,F,N,N,0,Pensionista,Médio,Casado,Casa,61,,2.0,4513.05,False
2015-09-01,13526,F,N,N,0,Empresário,Médio,Casado,Casa,35,14.356164383561644,2.0,73874.51,False
2015-06-01,3412,F,N,N,1,Servidor público,Médio,Solteiro,Casa,47,13.265753424657534,2.0,51315.85,False
2015-02-01,13304,F,N,S,0,Pensionista,Médio,Casado,Casa,61,,2.0,2587.05,True
2015-12-01,16381,F,N,S,0,Assalariado,Médio,Solteiro,Casa,39,8.052054794520547,1.0,9166.73,False
2015-04-01,6504,F,N,S,0,Pensionista,Médio,Casado,Casa,57,,2.0,1468.59,True
2015-12-01,12064,F,N,N,0,Assalariado,Médio,Casado,Com os pais,44,7.745205479452054,2.0,8944.52,False
2015-09-01,14484,F,N,S,0,Empresário,Médio,Casado,Casa,55,13.64109589041096,2.0,12461.79,False
2015-07-01,15306,F,N,N,0,Assalariado,Médio,Solteiro,Casa,48,1.0328767123287672,1.0,5000.03,False
2015-04-01,10416,F,N,S,0,Pensionista,Superior completo,Casado,Casa,60,,2.0,4293.84,False
2015-02-01,2906,F,S,S,0,Empresário,Médio,Casado,Casa,34,8.479452054794521,2.0,10728.16,False
2015-03-01,16406,F,S,S,0,Servidor público,Médio,Solteiro,Casa,23,4.210958904109589,1.0,4847.51,False
2015-01-01,7678,F,N,N,0,Pensionista,Médio,Casado,Casa,59,,2.0,2074.51,False
2015-04-01,5432,F,N,N,0,Assalariado,Superior completo,Separado,Casa,59,4.18082191780822,1.0,7224.65,False
2015-10-01,7560,F,N,S,0,Empresário,Médio,Casado,Casa,45,1.178082191780822,2.0,16632.96,False
2016-01-01,12419,F,N,S,0,Servidor público,Superior completo,Casado,Casa,55,0.6109589041095891,2.0,3090.99,False
2015-12-01,11112,F,N,S,0,Assalariado,Médio,Casado,Casa,57,31.36438356164384,2.0,98795.56,False
2016-03-01,5703,M,S,N,0,Empresário,Superior completo,Casado,Casa,47,4.624657534246575,2.0,6191.1,False
2015-05-01,2506,F,S,S,0,Servidor público,Superior completo,Separado,Casa,50,7.53972602739726,1.0,24679.5,False
2015-07-01,8604,F,N,S,0,Empresário,Médio,Solteiro,Casa,52,9.942465753424658,1.0,11441.73,False
2015-11-01,12587,M,N,N,0,Servidor público,Superior completo,Casado,Casa,32,10.61917808219178,2.0,4657.06,False
2015-12-01,3176,M,N,N,0,Assalariado,Médio,Casado,Casa,56,11.227397260273971,2.0,3514.96,False
2016-01-01,7070,F,N,S,0,Empresário,Médio,Casado,Casa,62,4.964383561643835,2.0,1351.2,False
2015-10-01,12965,F,N,S,4,Empresário,Médio,Casado,Casa,47,20.30958904109589,6.0,45774.62,False
2015-09-01,8284,F,N,S,1,Empresário,Superior completo,Casado,Casa,37,7.306849315068493,3.0,79224.52,False
2015-08-01,6475,F,N,S,0,Assalariado,Médio,Casado,Casa,43,5.994520547945205,2.0,24341.94,False
2015-03-01,12923,F,S,S,0,Pensionista,Médio,Casado,Casa,64,,2.0,6054.74,False
2015-01-01,12953,M,N,S,0,Empresário,Médio,Casado,Casa,43,2.8794520547945206,2.0,3351.99,False
2015-02-01,3717,F,N,S,1,Pensionista,Médio,Casado,Casa,51,,3.0,7753.6,False
2015-08-01,8048,M,S,N,0,Assalariado,Médio,Casado,Casa,36,4.975342465753425,2.0,45296.58,False
2015-10-01,13193,M,S,S,0,Assalariado,Médio,União,Casa,49,18.523287671232875,2.0,49000.75,False
2015-09-01,12904,M,S,S,0,Servidor público,Médio,Casado,Casa,51,3.2986301369863016,2.0,8497.24,False
2015-07-01,12773,F,N,S,0,Servidor público,Superior completo,Casado,Casa,59,34.21917808219178,2.0,423063.76,False
2015-01-01,9511,F,N,N,0,Empresário,Superior completo,Casado,Casa,30,7.432876712328767,2.0,5812.34,False
2015-09-01,10804,M,S,N,0,Assalariado,Médio,Casado,Casa,53,2.350684931506849,2.0,7169.5,False
2015-05-01,3646,M,S,N,3,Assalariado,Superior completo,Casado,Casa,38,0.8986301369863013,5.0,6475.35,False
2015-09-01,10976,F,S,N,1,Assalariado,Superior completo,União,Casa,37,2.684931506849315,3.0,6213.58,False
2015-09-01,15973,F,N,S,0,Pensionista,Superior completo,Casado,Casa,59,,2.0,29563.89,False
2015-03-01,1641,M,S,S,0,Assalariado,Médio,Casado,Casa,50,5.06027397260274,2.0,11408.0,False
2015-07-01,12682,F,S,S,0,Empresário,Superior completo,Casado,Casa,46,8.36986301369863,2.0,87948.14,False
2015-04-01,13669,M,N,S,1,Assalariado,Médio,Casado,Casa,32,4.789041095890411,3.0,10859.83,False
2015-04-01,2359,F,N,S,0,Assalariado,Médio,Casado,Casa,37,15.035616438356165,2.0,20154.39,True
2015-02-01,9994,F,N,S,1,Servidor público,Médio,Casado,Casa,38,9.602739726027398,3.0,9577.77,False
2015-10-01,569,F,N,S,0,Pensionista,Médio,Casado,Casa,59,,2.0,28382.85,False
2015-05-01,16016,F,N,S,0,Pensionista,Médio,Casado,Casa,62,,2.0,2267.92,False
